genes,symbol,HNSC_logFC,HNSC_AveExpr,HNSC_t,HNSC_P.Value,HNSC_adj.P.Val,HNSC_B,HNSC_stdev,KIRP_logFC,KIRP_AveExpr,KIRP_t,KIRP_P.Value,KIRP_adj.P.Val,KIRP_B,KIRP_stdev,LIHC_logFC,LIHC_AveExpr,LIHC_t,LIHC_P.Value,LIHC_adj.P.Val,LIHC_B,LIHC_stdev
ENSG00000143368.10,SF3B4,-1.209985479,7.682305258,-3.969627859,9.33E-05,0.019380268,1.154636844,0.391267066,-0.235157786,6.99968219,-0.726000496,0.470855587,0.911241318,-4.870313752,0.395304833,-0.224249068,6.890654596,-0.764754099,0.445308958,0.597162516,-5.926041053,0.271599683
ENSG00000143369.15,ECM1,-0.947303757,6.872693905,-1.090109341,0.276679862,0.473814661,-5.63288326,0.396245979,-0.177930808,3.224918346,-0.307349411,0.759715138,0.961483912,-4.897430457,0.40054853,-0.512212411,2.230907477,-1.102364373,0.271612726,0.424202867,-5.293437984,0.298816992
ENSG00000143373.18,ZNF687,-0.929622985,4.418630449,-2.152863419,0.03225469,0.173903709,-3.87206429,0.522381255,-0.291533261,4.204621723,-0.75712408,0.452142783,0.911241318,-4.820170065,0.418473242,-1.037278355,3.962464673,-2.975244277,0.003283903,0.023723483,-1.99405674,0.303825759
ENSG00000143374.17,TARS2,-0.423227202,4.746438278,-1.466481592,0.143732279,0.340621561,-5.095196674,0.583204497,-0.005839745,4.881384219,-0.020005151,0.984110223,0.997969011,-4.997367822,0.651518419,-0.2851952,5.071415013,-1.362015149,0.174707446,0.314237387,-5.328655212,0.329138875
ENSG00000143375.15,CGN,-0.500259906,2.692006508,-0.558958538,0.576673804,0.725136634,-5.715846836,0.634611748,-2.317816866,2.931650903,-2.060381311,0.044009569,0.911241318,-4.176147726,0.419141056,-0.601487988,5.116416092,-1.245173932,0.214507895,0.361466973,-5.471629104,0.255695054
ENSG00000143376.14,SNX27,-1.065127155,2.997085444,-2.441893197,0.015281172,0.133157604,-3.124272923,0.446368917,-0.428924548,3.469203729,-1.36809147,0.176736581,0.911241318,-4.476499495,0.759627517,-0.885932649,2.8463384,-2.76839392,0.006156485,0.034073956,-2.429536239,0.271028964
ENSG00000143379.12,SETDB1,-1.593227926,3.314184702,-2.963047167,0.003329949,0.081090331,-1.863264276,0.632446195,-0.620870258,3.203411172,-1.461776935,0.149379776,0.911241318,-4.418090147,0.391088958,-1.055490453,2.927292423,-3.045459668,0.002632352,0.020953898,-1.699565262,0.343642504
ENSG00000143382.15,ADAMTSL4,-0.672629257,3.166821296,-0.801209792,0.423745851,0.600409286,-5.612877889,0.592545978,-0.601218182,1.941475248,-0.925960259,0.358431655,0.911241318,-4.639984573,0.474228047,-1.201149234,3.151764738,-2.573478059,0.010783356,0.048668707,-2.909789925,0.252940218
ENSG00000143384.14,MCL1,-0.45123075,8.001570347,-1.35908566,0.17530371,0.374299441,-5.329973577,0.426921704,-0.187512217,7.083007107,-0.406081463,0.686227069,0.946153945,-4.97608549,0.411054235,-0.803892303,7.009208765,-3.309355019,0.001106965,0.013863708,-1.068367437,0.269144627
ENSG00000143387.14,CTSK,-2.068462913,4.75048427,-2.053824045,0.040998365,0.191950296,-4.000401746,0.626468411,-1.406732456,2.924410757,-0.969697918,0.336358002,0.911241318,-4.643930626,0.433486543,-0.626101544,1.545696069,-1.310069778,0.191657521,0.334346859,-4.919931487,0.255429722
ENSG00000143390.18,RFX5,-1.562466106,4.771297885,-2.80034638,0.005490103,0.095906428,-2.37387131,0.394694662,-0.491293962,4.607743306,-1.215302871,0.229338828,0.911241318,-4.585880595,0.55262432,-0.895962751,4.089925465,-2.769574642,0.006135041,0.034073555,-2.550489661,0.26339435
ENSG00000143393.16,PI4KB,-0.764959314,5.62756927,-2.869230171,0.004454642,0.089002618,-2.272789486,0.639385575,-0.437239458,5.279259814,-1.244652865,0.218432328,0.911241318,-4.571864686,0.410212036,-0.685174814,4.801357245,-2.482072359,0.013876257,0.057266442,-3.281047582,0.270312775
ENSG00000143398.20,PIP5K1A,-1.289214675,5.164957991,-3.066629014,0.002394592,0.073590609,-1.692373264,0.395311232,-0.57450052,4.683086101,-1.591059971,0.117214146,0.911241318,-4.309267979,0.393400942,-1.243858064,4.136381824,-3.6302221,0.000358725,0.007972099,-0.02918514,0.252841793
ENSG00000143401.15,ANP32E,-0.411633673,6.022547133,-0.932699379,0.351845328,0.540267344,-5.774873879,0.381414308,-0.246364847,5.170236191,-0.601417885,0.549983543,0.924883096,-4.900160022,0.425320835,-0.605405579,5.124768337,-2.140929967,0.033475926,0.102073779,-4.029481345,0.252560236
ENSG00000143409.15,MINDY1,-1.00164904,3.697298103,-2.094750597,0.037166449,0.184752646,-3.913494906,0.623033098,-0.575235074,4.764657127,-1.421615944,0.160671593,0.911241318,-4.442659592,0.421298457,-0.173068851,4.344740521,-0.660561184,0.509645078,0.652308371,-5.992130077,0.330557138
ENSG00000143412.10,ANXA9,-0.162934884,3.250006968,-0.216002694,0.829155953,0.895285671,-5.966308376,0.71995996,-0.905756337,4.575083417,-1.917079108,0.060324119,0.911241318,-4.022357935,0.403543739,-0.136084968,5.912551361,-0.397249174,0.691602434,0.797904026,-6.148920412,0.352356305
ENSG00000143416.21,SELENBP1,-0.731209663,3.06023187,-0.765727718,0.44453676,0.618766692,-5.625131913,0.63528893,0.157540716,4.599069904,0.244394372,0.807816763,0.971924153,-4.973914302,0.70148972,-0.450700999,7.42048465,-1.241150397,0.215987152,0.363193551,-5.456240481,0.294043684
ENSG00000143418.20,CERS2,-2.126512419,4.968982198,-3.133608572,0.00192567,0.069718319,-1.453707726,0.44272419,-0.231399547,6.222350629,-0.376203462,0.708184188,0.951424761,-4.975268205,0.535808882,-2.338478102,7.029357872,-5.130375419,6.76E-07,0.000524251,5.701183987,0.314328044
